GP,PPG,FGM,FGA,FG%,3PM,3P%,ORB,DRB,APG,SPG,TOV,is_Champion,league_num
28,73.5,27.0,61.3,0.441,5.7,0.299,10.7,22.4,14.8,6.7,12.9,0.0,1
26,72.9,26.8,60.8,0.441,6.1,0.333,10.8,22.8,15.0,7.4,12.6,0.0,1
25,71.7,25.5,58.4,0.437,6.5,0.341,9.0,24.5,14.6,6.3,13.2,0.0,1
26,71.4,24.6,56.5,0.435,7.3,0.345,7.0,21.0,14.6,6.7,11.4,0.0,1
26,69.8,26.4,60.9,0.434,6.6,0.315,10.7,21.3,15.5,7.6,13.2,0.0,1
26,68.8,25.0,58.7,0.426,7.1,0.326,7.8,21.4,14.8,5.9,11.9,0.0,1
26,68.8,25.4,61.1,0.416,6.1,0.283,11.7,22.8,14.4,6.5,13.2,0.0,1
26,68.3,25.0,59.0,0.423,5.7,0.295,9.1,20.2,13.5,6.0,13.2,0.0,1
26,82.6,30.6,66.7,0.458,6.3,0.302,11.1,26.5,19.2,7.3,14.0,0.0,1
34,80.9,29.3,61.4,0.477,7.0,0.341,9.9,25.5,17.4,7.5,13.5,1.0,1
30,78.1,26.5,58.6,0.452,7.6,0.307,7.7,22.9,17.5,7.8,12.2,0.0,1
35,76.5,28.0,62.3,0.45,7.3,0.322,10.1,22.1,17.4,6.4,12.3,0.0,1
26,75.1,26.2,61.3,0.427,7.8,0.305,10.8,23.0,16.2,7.8,13.2,0.0,1
26,74.4,26.3,58.5,0.449,7.2,0.332,7.8,25.2,17.0,5.3,14.8,0.0,1
30,73.9,26.5,61.2,0.433,6.1,0.304,11.2,24.0,14.7,5.9,12.6,0.0,1
26,72.8,27.4,62.5,0.438,6.9,0.327,8.7,22.5,15.4,7.9,11.7,0.0,1
26,71.8,25.2,59.4,0.425,8.0,0.336,7.9,20.9,15.3,6.3,12.2,0.0,1
26,71.7,26.3,60.3,0.437,8.2,0.355,7.7,23.1,15.2,6.2,12.6,0.0,1
26,71.6,26.6,60.0,0.444,7.2,0.326,8.8,23.6,14.4,7.8,14.1,0.0,1
26,71.2,25.8,59.9,0.43,7.0,0.293,8.2,21.5,15.0,7.8,13.3,0.0,1
26,68.3,25.4,63.4,0.401,6.5,0.283,10.2,21.9,13.0,6.9,12.1,0.0,1
25,67.9,25.0,57.5,0.435,7.5,0.323,5.2,20.4,14.1,6.3,16.6,0.0,1
31,79.5,28.5,60.1,0.474,7.4,0.335,8.6,22.9,19.4,9.2,14.5,1.0,1
31,78.2,27.9,66.5,0.42,7.7,0.312,12.7,23.0,15.1,9.8,15.4,0.0,1
